code,city_id,state,lat,lon
10028,Nyc, NY,40.71,-73.99
10029,New York, NY,40.71,-73.99
10029,Manhattan, NY,40.71,-73.99
10029,Nyc, NY,40.71,-73.99
10030,New York, NY,40.71,-73.99
10030,College, NY,40.71,-73.99
10030,Manhattan, NY,40.71,-73.99
10030,Nyc, NY,40.71,-73.99
10031,New York, NY,40.71,-73.99
10031,Hamilton Grange, NY,40.71,-73.99
10031,Manhattan, NY,40.71,-73.99
10031,Nyc, NY,40.71,-73.99
10032,New York, NY,40.71,-73.99
10032,Manhattan, NY,40.71,-73.99
10032,Nyc, NY,40.71,-73.99
10033,New York, NY,40.71,-73.99
10033,Manhattan, NY,40.71,-73.99
10033,Nyc, NY,40.71,-73.99
10033,Washington Bridge, NY,40.71,-73.99
10034,New York, NY,40.71,-73.99
612,Parc Rodriguez Olmo, PR,18.45,-66.73
612,Parq De Jardines, PR,18.45,-66.73
612,Paseos Reales, PR,18.45,-66.73
612,Repto Marquez, PR,18.45,-66.73
612,Repto San Jose, PR,18.45,-66.73
612,Repto San Juan, PR,18.45,-66.73
612,Sect Abra, PR,18.45,-66.73
612,Sect El Cano, PR,18.45,-66.73
612,Sect Las Animas, PR,18.45,-66.73
612,Sect Muelle, PR,18.45,-66.73
612,Urb Arecibo Gdns, PR,18.45,-66.73
612,Urb College Park Iv, PR,18.45,-66.73
612,Urb Costas Del Atlantico, PR,18.45,-66.73
612,Urb El Paraiso, PR,18.45,-66.73
612,Urb Factor, PR,18.45,-66.73
612,Urb Garcia, PR,18.45,-66.73
612,Urb Garden View, PR,18.45,-66.73
612,Urb La Mucura, PR,18.45,-66.73
612,Urb Las Brisas, PR,18.45,-66.73
612,Urb Los Llanos, PR,18.45,-66.73
612,Urb Los Pinos, PR,18.45,-66.73
612,Urb Los Pinos Ii, PR,18.45,-66.73
612,Urb Marisol, PR,18.45,-66.73
612,Urb Martell, PR,18.45,-66.73
612,Urb Ocean Vw, PR,18.45,-66.73
612,Urb Radioville, PR,18.45,-66.73
612,Urb Regional, PR,18.45,-66.73
612,Urb San Daniel, PR,18.45,-66.73
612,Urb San Felipe, PR,18.45,-66.73
612,Urb San Lorenzo, PR,18.45,-66.73
612,Urb Tanama, PR,18.45,-66.73
612,Urb University Gdns, PR,18.45,-66.73
612,Urb Victor Rojas 1, PR,18.45,-66.73
612,Urb Victor Rojas 2, PR,18.45,-66.73
612,Urb Villamar, PR,18.45,-66.73
