code,type,city_id,state,lat,lon
612,STANDARD,Urb El Paraiso, PR,18.45,-66.73
612,STANDARD,Urb Factor, PR,18.45,-66.73
612,STANDARD,Urb Garcia, PR,18.45,-66.73
612,STANDARD,Urb Garden View, PR,18.45,-66.73
612,STANDARD,Urb La Mucura, PR,18.45,-66.73
612,STANDARD,Urb Las Brisas, PR,18.45,-66.73
612,STANDARD,Urb Los Llanos, PR,18.45,-66.73
612,STANDARD,Urb Los Pinos, PR,18.45,-66.73
612,STANDARD,Urb Los Pinos Ii, PR,18.45,-66.73
612,STANDARD,Urb Marisol, PR,18.45,-66.73
612,STANDARD,Urb Martell, PR,18.45,-66.73
612,STANDARD,Urb Ocean Vw, PR,18.45,-66.73
612,STANDARD,Urb Radioville, PR,18.45,-66.73
612,STANDARD,Urb Regional, PR,18.45,-66.73
612,STANDARD,Urb San Daniel, PR,18.45,-66.73
612,STANDARD,Urb San Felipe, PR,18.45,-66.73
612,STANDARD,Urb San Lorenzo, PR,18.45,-66.73
612,STANDARD,Urb Tanama, PR,18.45,-66.73
612,STANDARD,Urb University Gdns, PR,18.45,-66.73
612,STANDARD,Urb Victor Rojas 1, PR,18.45,-66.73
612,STANDARD,Urb Victor Rojas 2, PR,18.45,-66.73
612,STANDARD,Urb Villamar, PR,18.45,-66.73
612,STANDARD,Urb Zeno Gandia, PR,18.45,-66.73
612,STANDARD,Valle Escondido, PR,18.45,-66.73
612,STANDARD,Villa Los Santos, PR,18.45,-66.73
612,STANDARD,Villa Lucia, PR,18.45,-66.73
612,STANDARD,Villa Serena, PR,18.45,-66.73
612,STANDARD,Villa Toledo, PR,18.45,-66.73
612,STANDARD,Villas Del Capitan, PR,18.45,-66.73
612,STANDARD,Villas Del Sol, PR,18.45,-66.73
612,STANDARD,Vista Azul, PR,18.45,-66.73
612,STANDARD,Vista Del Atlantico, PR,18.45,-66.73
613,PO BOX,Arecibo, PR,18.45,-66.73
614,PO BOX,Arecibo, PR,18.45,-66.73
714,STANDARD,Arroyo, PR,17.97,-66.06
714,STANDARD,Ext Jard De Arroyo, PR,17.97,-66.06
714,STANDARD,Jard De Arroyo, PR,17.97,-66.06
714,STANDARD,Jard De Lafayette, PR,17.97,-66.06
714,STANDARD,Parq De Guasimas, PR,17.97,-66.06
714,STANDARD,Qtas De Guasima, PR,17.97,-66.06
714,STANDARD,Repto Bello Mar, PR,17.97,-66.06
714,STANDARD,Urb Arroyo Del Mar, PR,17.97,-66.06
714,STANDARD,Urb Belinda, PR,17.97,-66.06
714,STANDARD,Urb Las 500, PR,17.97,-66.06
714,STANDARD,Urb Miramar 1, PR,17.97,-66.06
714,STANDARD,Urb Palmar 2, PR,17.97,-66.06
714,STANDARD,Urb San Antonio, PR,17.97,-66.06
714,STANDARD,Villas De Lafayette, PR,17.97,-66.06
616,STANDARD,Bajadero, PR,18.40,-66.66
616,STANDARD,Brisas Del Valle, PR,18.40,-66.66
617,STANDARD,Barceloneta, PR,18.45,-66.53
617,STANDARD,Bda Catalana, PR,18.45,-66.53
617,STANDARD,Brisas De Llanadas, PR,18.45,-66.53
617,STANDARD,Brisas Del Monte, PR,18.45,-66.53
617,STANDARD,Est De Barceloneta, PR,18.45,-66.53
617,STANDARD,Est De Florida, PR,18.45,-66.53
617,STANDARD,Ext Est De Imbery, PR,18.45,-66.53
617,STANDARD,Ext Parc Punta Palmas, PR,18.45,-66.53
617,STANDARD,Parc Garrochales, PR,18.45,-66.53
617,STANDARD,Parc Imbery, PR,18.45,-66.53
617,STANDARD,Parc Magueyes, PR,18.45,-66.53
617,STANDARD,Parc Palenque, PR,18.45,-66.53
617,STANDARD,Parc Punta Palmas, PR,18.45,-66.53
617,STANDARD,Parc Tiburon, PR,18.45,-66.53
617,STANDARD,Repto Las Llanadas, PR,18.45,-66.53
617,STANDARD,Urb Cataluna, PR,18.45,-66.53
617,STANDARD,Urb Cimarrona Ct, PR,18.45,-66.53
617,STANDARD,Urb Las Delicias, PR,18.45,-66.53
617,STANDARD,Urb Las Praderas, PR,18.45,-66.53
617,STANDARD,Urb Ortega, PR,18.45,-66.53
617,STANDARD,Urb Plazuela Estates, PR,18.45,-66.53
617,STANDARD,Urb Sol Naciente, PR,18.45,-66.53
617,STANDARD,Villa Barcelona, PR,18.45,-66.53
617,STANDARD,Villa Central, PR,18.45,-66.53
617,STANDARD,Villa Georgetti, PR,18.45,-66.53
617,STANDARD,Villas De La Sabana, PR,18.45,-66.53
794,STANDARD,Barranquitas, PR,18.18,-66.30
794,STANDARD,Bda Alemania, PR,18.18,-66.30
794,STANDARD,Urb San Cristobal, PR,18.18,-66.30
794,STANDARD,Vistas De Montecielo, PR,18.18,-66.30
622,STANDARD,Boqueron, PR,17.99,-67.15
622,STANDARD,Villa Taina, PR,17.99,-67.15
623,STANDARD,Cabo Rojo, PR,18.08,-67.14
623,STANDARD,Alts De Joyuda, PR,18.08,-67.14
623,STANDARD,Alts Del Mar, PR,18.08,-67.14
623,STANDARD,Bo Ballaja, PR,18.08,-67.14
623,STANDARD,Bo Monte Grande, PR,18.08,-67.14
623,STANDARD,Est De Miramar, PR,18.08,-67.14
623,STANDARD,Est Reales, PR,18.08,-67.14
623,STANDARD,Ext Elizabeth, PR,18.08,-67.14
623,STANDARD,Ext La Concepcion, PR,18.08,-67.14
623,STANDARD,Ext Parc Elizabeth, PR,18.08,-67.14
623,STANDARD,Ext Sierra Linda, PR,18.08,-67.14
623,STANDARD,Haciendas De Belvedere, PR,18.08,-67.14
623,STANDARD,Haciendas De Cabo Rojo, PR,18.08,-67.14
623,STANDARD,Haciendas De Miramar, PR,18.08,-67.14
623,STANDARD,Jard Del Puerto, PR,18.08,-67.14
623,STANDARD,Mans De Cabo Rojo, PR,18.08,-67.14
623,STANDARD,Mansiones, PR,18.08,-67.14
623,STANDARD,Parc Betances, PR,18.08,-67.14
623,STANDARD,Parc Elizabeth, PR,18.08,-67.14
623,STANDARD,Parc Las Margaritas, PR,18.08,-67.14
623,STANDARD,Parc Las 35, PR,18.08,-67.14
623,STANDARD,Parc Puerto Real, PR,18.08,-67.14
623,STANDARD,Qtas De Cabo Rojo, PR,18.08,-67.14
623,STANDARD,Repto Miradero, PR,18.08,-67.14
